prompt_a,prompt_b,auprc
22,43,0.7509
22,44,0.8883
22,45,0.866
22,47,0.9556
22,48,0.798
22,49,0.6605
23,24,0.8549
23,25,0.8974
23,26,0.8813
23,27,0.8809
23,28,0.9263
23,29,0.5
23,30,1.0
23,31,0.9063
23,32,0.9341
23,33,0.9
23,34,0.9714
23,35,0.8071
23,36,1.0
23,37,0.798
23,38,1.0
23,39,0.798
23,40,0.817
23,41,0.916
23,42,0.8412
23,43,0.7145
23,44,0.8529
23,45,0.5841
23,47,0.9625
23,48,0.9573
23,49,0.9198
24,25,0.8974
24,26,0.8342
24,27,0.8196
24,28,1.0
24,29,1.0
24,30,1.0
24,31,0.9587
24,32,0.9821
24,33,0.8673
24,34,0.9556
24,35,0.8034
24,36,0.9573
24,37,1.0
24,38,0.9909
24,39,0.9833
24,40,0.8662
24,41,0.8803
24,42,0.8665
24,43,0.8649
24,44,0.8471
24,45,0.7134
24,47,0.9714
24,48,0.9525
24,49,0.8724
25,26,0.6794
25,27,0.6227
25,28,0.7341
25,29,0.3333
25,30,0.6794
25,31,0.6585
25,32,0.9683
25,33,0.6516
25,34,0.6334
25,35,0.646
25,36,0.6267
25,37,0.6729
25,38,0.798
25,39,0.6794
25,40,0.546
25,41,0.568
25,42,0.6622
25,43,0.611
25,44,0.5927
25,45,0.7344
25,47,0.9588
25,48,0.6794
25,49,0.7168
26,27,0.8561
26,28,0.929
26,29,1.0
26,30,1.0
26,31,0.6828
26,32,0.9571
26,33,0.9032
26,34,0.8753
26,35,0.8667
26,36,0.9519
26,37,1.0
26,38,0.9652
26,39,1.0
26,40,0.7406
26,41,0.9196
26,42,0.9889
26,43,0.8007
26,44,0.8803
26,45,0.7329
26,47,0.9588
26,48,0.9556
26,49,0.8966
27,28,0.5973
27,29,1.0
27,30,1.0
27,31,0.5587
27,32,0.9683
27,33,0.8197
27,34,0.5444
27,35,0.569
27,36,0.931
27,37,0.6127
27,38,0.9138
27,39,0.5765
27,40,0.8084
27,41,0.9286
27,42,0.5427
27,43,0.6016
27,44,0.6282
27,45,0.727
27,47,0.9667
27,48,0.6155
27,49,0.6939
28,29,1.0
28,30,1.0
28,31,0.8946
28,32,0.9341
28,33,0.925
28,34,0.9344
28,35,0.8783
28,36,0.8985
28,37,0.9769
28,38,0.8802
28,39,1.0
28,40,0.7861
28,41,0.9238
28,42,1.0
28,43,0.8277
28,44,0.9073
28,45,0.7777
28,47,0.9667
28,48,0.9588
28,49,0.8668
29,30,1.0
29,31,1.0
29,32,0.9821
29,33,0.9909
29,34,1.0
29,35,1.0
29,36,1.0
29,37,1.0
29,38,1.0
29,39,1.0
29,40,0.9698
29,41,1.0
29,42,1.0
29,43,0.9809
29,44,1.0
29,45,1.0
29,47,0.9909
29,48,1.0
29,49,1.0
30,31,1.0
30,32,0.9341
30,33,0.95
30,34,1.0
30,35,1.0
30,36,0.9464
30,37,1.0
30,38,1.0
30,39,1.0
30,40,0.783
30,41,0.9196
30,42,1.0
30,43,0.8974
30,44,1.0
30,45,0.9909
30,47,0.95
30,48,1.0
30,49,0.9318
31,32,0.9571
31,33,0.9026
31,34,0.7497
31,35,0.871
31,36,0.8417
31,37,0.9809
31,38,0.9769
31,39,1.0
31,40,0.8022
31,41,0.816
31,42,0.9297
31,43,0.8974
31,44,0.8262
31,45,0.7522
31,47,0.9625
31,48,0.9809
31,49,0.8535
32,33,0.9809
32,34,0.9573
32,35,0.9263
32,36,0.9573
32,37,0.848
32,38,1.0
32,39,0.8813
32,40,0.9573
32,41,0.9821
32,42,0.9765
32,43,0.9573
32,44,0.9263
32,45,0.9809
32,47,0.9588
32,48,0.9263
32,49,0.943
33,34,0.8219
33,35,0.7777
33,36,0.9063
33,37,0.7396
33,38,1.0
33,39,0.7155
33,40,0.7509
33,41,0.6738
33,42,0.6668
33,43,0.6405
33,44,0.7079
33,45,0.6018
33,47,0.9625
33,48,0.741
33,49,0.5867
34,35,0.7456
34,36,0.8262
34,37,0.6658
34,38,0.9667
34,39,0.9809
34,40,0.8262
34,41,0.8279
34,42,0.7667
34,43,0.8863
34,44,0.8796
34,45,0.8809
34,47,0.9526
34,48,0.848
34,49,0.7285
35,36,0.8672
35,37,0.6794
35,38,0.9652
35,39,0.784
35,40,0.6842
35,41,0.8677
35,42,0.7559
35,43,0.6922
35,44,0.8351
35,45,0.6394
35,47,0.9556
35,48,0.8359
35,49,0.7548
36,37,0.6168
36,38,0.7003
36,39,0.9229
36,40,0.8083
36,41,0.8341
36,42,0.9192
36,43,0.8701
36,44,0.9421
36,45,0.9588
36,47,0.9526
36,48,0.8594
36,49,0.9026
37,38,0.9909
37,39,0.9063
37,40,0.7334
37,41,0.8984
37,42,0.9329
37,43,0.7882
37,44,0.748
37,45,0.7137
37,47,0.9526
37,48,0.9909
37,49,0.8816
38,39,1.0
38,40,0.9809
38,41,0.9617
38,42,0.9889
38,43,0.8576
38,44,1.0
38,45,1.0
38,47,0.9909
38,48,1.0
38,49,0.95
39,40,0.8418
39,41,0.7918
39,42,1.0
39,43,0.8738
39,44,0.7092
39,45,0.7622
39,47,0.8556
39,48,0.9526
39,49,0.7696
40,41,0.4259
40,42,0.6757
40,43,0.7935
40,44,0.5799
40,45,0.7824
40,47,0.9289
40,48,0.6597
40,49,0.7539
41,42,0.8246
41,43,0.7933
41,44,0.7418
41,45,0.8443
41,47,0.9377
41,48,0.8404
41,49,0.6693
42,43,0.9026
42,44,0.8396
42,45,0.716
42,47,0.9525
42,48,1.0
42,49,0.8812
43,44,0.6026
43,45,0.566
43,47,0.9344
43,48,0.696
43,49,0.6125
44,45,0.7072
44,47,0.95
44,48,0.596
44,49,0.7788
45,47,0.9526
45,48,0.5373
45,49,0.7801
47,48,0.848
47,49,0.943
48,49,0.866
